address,utgd
tgrade17p9rzwnnfxcjp32un9ug7yhhzgtkhvl9jfksztgw5uh69wac2pgsmsjtzp,6543074899120
tgrade1l4ysaz7jpddpqrhywjqrst6d23rtsv3yzt69zt80fxrf4dy82s8sjwkswf,6106300000000
tgrade14hj2tavq8fpesdwxxcu44rty3hh90vhujrvcmstl4zr3txmfvw9s07fvfr,3436591966866
tgrade1wl59k23zngj34l7d42y9yltask7rjlnxgccawc7ltrknp6n52fps2p2ent,3320074777658
tgrade1eyfccmjm6732k7wp4p6gdjwhxjwsvje44j0hfx8nkgrm8fs7vqfsu3q593,670821112876
tgrade1nc5tatafv6eyq7llkr2gv50ff9e22mnf70qgjlv737ktmt4eswrqrtvwt9,48138080726
tgrade1yg8930mj8pk288lmkjex0qz85mj8wgtns5uzwyn2hs25pwdnw42sx2la07,5030835433
tgrade1l7f5pgw0m5p9twjuhe76jd3f64qje9qcjcmvya30j427hjmxyfaqgyygy5,2520993953
tgrade1m2dku58nfy49hd5ta6ds5rq9z9p02fdj0kkty3z9spgg7gunfguq8zvnk6,1539755697
tgrade1e3j47h79pkqv34jdujzu2062k5cczxm9lrg9auyp9zn4axgme67shlvwsr,1000000000
tgrade1kscg0vkvttc0us0c3gmxdx88jw0wc60pz8utrq5anhgs94czqxysm24r50,103987130
tgrade1cztumjw89xp9ueq5r44rs40pemsk6cfhg44k5rmr43fyak6sa70q7mxk9n,88000000
tgrade1n8zk28ycq7s5epdknwytvvpt8848954yfuz0vcf6l3yz73g4sd2spajnnw,51000000
tgrade15l02gdnwwzxfdq5yl38sru53rrpc7hyqkuewhkz4ffe384ectttqvauj9f,46000000
tgrade1ejm29m279e8x4ltf3ksqm443fsdql9rmtuyth6vssmxl72af5yzqzmkve5,7000000
tgrade1t7k3gwq9wp8e76nepy6z6ghpalxhk7uupe763lr2x8dfmd67xc6scxwayg,2100000
tgrade1qsnv96vv2s972lvq568pnu35pq2dzf839d2rn5wxnen76yejlefsz549sp,2000000
tgrade1hz2lvf367zjmlwe65lgskhuxjntyl08z7yutsunzc8wha4f66mvs4rvvyw,1500000
tgrade1fh0hm98gkd96rx3w92ea2wm45q85eu9g3hqvx2p968ppfqv392vsh2hsan,1000000
tgrade1rsma99n0fmkygy6qyazea4xat9sm3a3at7dwj2ehfwwzsemnzs0qu35ey7,1000000
